,,,,Independent Variable,Distance moved,Velocity,Velocity.1
,,,,Independent Variable,Center-point,Center-point,Center-point
,,,,Treatment,Total,Mean,Total
,,,,,cm,cm/s,cm/s
Result 1,Trial     1,A1,13:40:00-13:50:00,,0.0988892,0.0537441,1.23612
Result 1,Trial     1,A1,13:50:00-14:00:00,,0.129487,0.00606213,1.61859
Result 1,Trial     1,A1,14:00:00-14:10:00,,-,-,-
Result 1,Trial     1,A1,14:10:00-14:20:00,,-,-,-
Result 1,Trial     1,A1,14:20:00-14:30:00,,0,0,0
Result 1,Trial     1,A1,14:30:00-14:40:00,,-,-,-
Result 1,Trial     1,A1,14:40:00-14:50:00,,0.866163,0.102142,10.827
Result 1,Trial     1,A1,14:50:00-15:00:00,,22.0091,0.180284,275.113
Result 1,Trial     1,A1,15:00:00-15:10:00,,14.9301,0.118268,186.627
Result 1,Trial     1,A1,15:10:00-15:20:00,,0,0,0
Result 1,Trial     1,A1,15:20:00-15:30:00,,-,-,-
Result 1,Trial     1,A1,15:30:00-15:40:00,,-,-,-
Result 1,Trial     1,A1,15:40:00-15:50:00,,-,-,-
Result 1,Trial     1,A1,15:50:00-16:00:00,,1.1428,1.29863,14.285
Result 1,Trial     1,A1,16:00:00-16:10:00,,-,-,-
Result 1,Trial     1,A1,16:10:00-16:20:00,,1.87207,0.0857177,23.4009
Result 1,Trial     1,A1,16:20:00-16:30:00,,0,0,0
Result 1,Trial     1,A1,16:30:00-16:40:00,,-,-,-
Result 1,Trial     1,A1,16:40:00-16:50:00,,-,-,-
Result 1,Trial     1,A1,16:50:00-17:00:00,,-,-,-
Result 1,Trial     1,A1,17:00:00-17:10:00,,0,0,0
Result 1,Trial     1,A1,17:10:00-17:20:00,,-,-,-
Result 1,Trial     1,A1,17:20:00-17:30:00,,-,-,-
Result 1,Trial     1,A1,17:30:00-17:40:00,,0.324489,0.0751132,4.05611
Result 1,Trial     1,A1,17:40:00-17:50:00,,1.40557,0.0415359,17.5697
Result 1,Trial     1,A1,17:50:00-18:00:00,,2.33567,0.0762293,29.1958
Result 1,Trial     1,A1,18:00:00-18:10:00,,0.0314052,0.0122677,0.392565
Result 1,Trial     1,A1,18:10:00-18:20:00,,0,0,0
Result 1,Trial     1,A1,18:20:00-18:30:00,,-,-,-
Result 1,Trial     1,A1,18:30:00-18:40:00,,0.152851,0.010918,1.91064
Result 1,Trial     1,A1,18:40:00-18:50:00,,0,0,0
Result 1,Trial     1,A1,18:50:00-19:00:00,,5.93022,0.145921,74.1277
Result 1,Trial     1,A1,19:00:00-19:10:00,,-,-,-
Result 1,Trial     1,A1,19:10:00-19:20:00,,-,-,-
Result 1,Trial     1,A1,19:20:00-19:30:00,,-,-,-
Result 1,Trial     1,A1,19:30:00-19:40:00,,-,-,-
Result 1,Trial     1,A1,19:40:00-19:50:00,,2.65377,0.00797791,33.1721
Result 1,Trial     1,A1,19:50:00-20:00:00,,0,0,0
Result 1,Trial     1,A1,20:00:00-20:10:00,,0,0,0
Result 1,Trial     1,A1,20:10:00-20:20:00,,4.25319,0.0252805,53.1649
Result 1,Trial     1,A1,20:20:00-20:30:00,,-,-,-
Result 1,Trial     1,A1,20:30:00-20:40:00,,-,-,-
Result 1,Trial     1,A1,20:40:00-20:50:00,,-,-,-
Result 1,Trial     1,A1,20:50:00-21:00:00,,11.0697,0.212227,138.372
Result 1,Trial     1,A1,21:00:00-21:10:00,,8.64359,0.0145495,108.045
Result 1,Trial     1,A1,21:10:00-21:20:00,,0,0,0
Result 1,Trial     1,A1,21:20:00-21:30:00,,0,0,0
Result 1,Trial     1,A1,21:30:00-21:40:00,,0,0,0
Result 1,Trial     1,A1,21:40:00-21:50:00,,0,0,0
Result 1,Trial     1,A1,21:50:00-22:00:00,,16.717,0.0466227,208.963
Result 1,Trial     1,A1,22:00:00-22:10:00,,3.32906,0.026556,41.6133
Result 1,Trial     1,A1,22:10:00-22:20:00,,-,-,-
Result 1,Trial     1,A1,22:20:00-22:30:00,,6.59141,0.0482392,82.3926
Result 1,Trial     1,A1,22:30:00-22:40:00,,0.999677,0.312399,12.496
Result 1,Trial     1,A1,22:40:00-22:50:00,,-,-,-
Result 1,Trial     1,A1,22:50:00-23:00:00,,-,-,-
Result 1,Trial     1,A1,23:00:00-23:10:00,,-,-,-
Result 1,Trial     1,A1,23:10:00-23:20:00,,-,-,-
Result 1,Trial     1,A1,23:20:00-23:30:00,,0.809024,0.0219843,10.1128
Result 1,Trial     1,A1,23:30:00-23:40:00,,0.34499,0.00303261,4.31237
Result 1,Trial     1,A1,23:40:00-23:50:00,,0.869391,0.0053986,10.8674
Result 1,Trial     1,A1,23:50:00-24:00:00,,0.115191,0.0719944,1.43989
Result 1,Trial     1,A1,24:00:00-24:10:00,,27.9748,0.133519,349.685
Result 1,Trial     1,A1,24:10:00-24:20:00,,0.487113,0.0770749,6.08892
Result 1,Trial     1,A1,24:20:00-24:30:00,,0.175307,0.00637016,2.19133
Result 1,Trial     1,A1,24:30:00-24:40:00,,0.0990195,0.000351033,1.23774
Result 1,Trial     1,A1,24:40:00-24:50:00,,16.0261,0.138442,200.326
Result 1,Trial     1,A1,24:50:00-25:00:00,,30.42,0.050924,380.25
Result 1,Trial     1,A1,25:00:00-25:10:00,,1.6733,0.00279032,20.9162
Result 1,Trial     1,A1,25:10:00-25:20:00,,2.47126,0.00412096,30.8907
Result 1,Trial     1,A1,25:20:00-25:30:00,,3.30134,0.0055037,41.2667
Result 1,Trial     1,A1,25:30:00-25:40:00,,8.2752,0.013792,103.44
Result 1,Trial     1,A1,25:40:00-25:50:00,,9.56366,0.0159437,119.546
Result 1,Trial     1,A1,25:50:00-26:00:00,,11.2352,0.0187303,140.44
Result 1,Trial     1,A1,26:00:00-26:10:00,,19.0072,0.0316787,237.59
Result 1,Trial     1,A1,26:10:00-26:20:00,,14.2711,0.0238043,178.389
