,,,,Independent Variable,Distance moved,Velocity,Velocity.1
,,,,Independent Variable,Center-point,Center-point,Center-point
,,,,Treatment,Total,Mean,Total
,,,,,cm,cm/s,cm/s
Result 1,Trial     1,B3,18:30:00-18:40:00,,27.2529,0.0455247,340.662
Result 1,Trial     1,B3,18:40:00-18:50:00,,20.3612,0.0340763,254.516
Result 1,Trial     1,B3,18:50:00-19:00:00,,17.8653,0.0298152,223.316
Result 1,Trial     1,B3,19:00:00-19:10:00,,33.6661,0.0566616,420.826
Result 1,Trial     1,B3,19:10:00-19:20:00,,20.0479,0.0342208,250.599
Result 1,Trial     1,B3,19:20:00-19:30:00,,17.9411,0.0326392,224.264
Result 1,Trial     1,B3,19:30:00-19:40:00,,17.7666,0.0325491,222.083
Result 1,Trial     1,B3,19:40:00-19:50:00,,16.7114,0.0285802,208.892
Result 1,Trial     1,B3,19:50:00-20:00:00,,29.497,0.0494386,368.713
Result 1,Trial     1,B3,20:00:00-20:10:00,,23.1553,0.0386953,289.441
Result 1,Trial     1,B3,20:10:00-20:20:00,,21.8593,0.0375745,273.242
Result 1,Trial     1,B3,20:20:00-20:30:00,,14.9132,0.0249252,186.415
Result 1,Trial     1,B3,20:30:00-20:40:00,,26.2661,0.0440765,328.326
Result 1,Trial     1,B3,20:40:00-20:50:00,,33.3803,0.0563552,417.254
Result 1,Trial     1,B3,20:50:00-21:00:00,,23.9263,0.0399731,299.079
Result 1,Trial     1,B3,21:00:00-21:10:00,,28.6095,0.0477398,357.619
Result 1,Trial     1,B3,21:10:00-21:20:00,,34.1281,0.0582869,426.602
Result 1,Trial     1,B3,21:20:00-21:30:00,,19.1876,0.0326054,239.845
Result 1,Trial     1,B3,21:30:00-21:40:00,,47.3839,0.0794179,592.298
Result 1,Trial     1,B3,21:40:00-21:50:00,,29.286,0.0490061,366.076
Result 1,Trial     1,B3,21:50:00-22:00:00,,28.0111,0.0468601,350.139
Result 1,Trial     1,B3,22:00:00-22:10:00,,30.4812,0.0511568,381.016
Result 1,Trial     1,B3,22:10:00-22:20:00,,11.5452,0.0201361,144.316
Result 1,Trial     1,B3,22:20:00-22:30:00,,12.826,0.0215115,160.325
Result 1,Trial     1,B3,22:30:00-22:40:00,,25.4104,0.0424299,317.63
Result 1,Trial     1,B3,22:40:00-22:50:00,,18.2638,0.0304722,228.298
Result 1,Trial     1,B3,22:50:00-23:00:00,,19.598,0.0333345,244.975
Result 1,Trial     1,B3,23:00:00-23:10:00,,8.46662,0.014128,105.833
Result 1,Trial     1,B3,23:10:00-23:20:00,,30.5447,0.0514151,381.808
Result 1,Trial     1,B3,23:20:00-23:30:00,,16.5558,0.0275929,206.947
Result 1,Trial     1,B3,23:30:00-23:40:00,,23.1555,0.0386905,289.443
Result 1,Trial     1,B3,23:40:00-23:50:00,,18.7385,0.0312809,234.231
Result 1,Trial     1,B3,23:50:00-24:00:00,,29.2573,0.0488012,365.716
Result 1,Trial     1,B3,24:00:00-24:10:00,,23.4207,0.039097,292.758
Result 1,Trial     1,B3,24:10:00-24:20:00,,22.0568,0.0368498,275.71
Result 1,Trial     1,B3,24:20:00-24:30:00,,13.6598,0.0235222,170.747
Result 1,Trial     1,B3,24:30:00-24:40:00,,7.32377,0.0122128,91.5471
Result 1,Trial     1,B3,24:40:00-24:50:00,,38.5336,0.0646191,481.671
Result 1,Trial     1,B3,24:50:00-25:00:00,,30.8224,0.051577,385.28
Result 1,Trial     1,B3,25:00:00-25:10:00,,26.0602,0.0435149,325.752
Result 1,Trial     1,B3,25:10:00-25:20:00,,20.2577,0.0338124,253.221
Result 1,Trial     1,B3,25:20:00-25:30:00,,23.2575,0.038986,290.719
Result 1,Trial     1,B3,25:30:00-25:40:00,,22.7313,0.0402695,284.142
Result 1,Trial     1,B3,25:40:00-25:50:00,,45.6763,0.0801676,570.954
Result 1,Trial     1,B3,25:50:00-26:00:00,,25.8435,0.0444535,323.044
Result 1,Trial     1,B3,26:00:00-26:10:00,,8.71719,0.0145287,108.965
Result 1,Trial     1,B3,26:10:00-26:20:00,,35.271,0.0652683,440.887
Result 1,Trial     1,B3,26:20:00-26:30:00,,19.2616,0.0331092,240.77
Result 1,Trial     1,B3,26:30:00-26:40:00,,21.1713,0.0353044,264.642
Result 1,Trial     1,B3,26:40:00-26:50:00,,13.4427,0.0224284,168.033
Result 1,Trial     1,B3,26:50:00-27:00:00,,52.7316,0.088369,659.145
Result 1,Trial     1,B3,27:00:00-27:10:00,,31.3953,0.0524023,392.441
Result 1,Trial     1,B3,27:10:00-27:20:00,,48.382,0.0812106,604.775
Result 1,Trial     1,B3,27:20:00-27:30:00,,30.8441,0.0515304,385.551
Result 1,Trial     1,B3,27:30:00-27:40:00,,27.3908,0.0483526,342.385
Result 1,Trial     1,B3,27:40:00-27:50:00,,25.451,0.0436163,318.137
Result 1,Trial     1,B3,27:50:00-28:00:00,,49.4174,0.0840089,617.718
Result 1,Trial     1,B3,28:00:00-28:10:00,,22.155,0.0446818,276.938
Result 1,Trial     1,B3,28:10:00-28:20:00,,43.4985,0.0739468,543.731
Result 1,Trial     1,B3,28:20:00-28:30:00,,47.4518,0.0800144,593.147
Result 1,Trial     1,B3,28:30:00-28:40:00,,49.0514,0.083489,613.143
Result 1,Trial     1,B3,28:40:00-28:50:00,,60.5109,0.104473,756.386
Result 1,Trial     1,B3,28:50:00-29:00:00,,64.9984,0.112314,812.48
Result 1,Trial     1,B3,29:00:00-29:10:00,,52.7749,0.092122,659.686
Result 1,Trial     1,B3,29:10:00-29:20:00,,59.7258,0.10206,746.572
Result 1,Trial     1,B3,29:20:00-29:30:00,,59.8872,0.104859,748.59
Result 1,Trial     1,B3,29:30:00-29:40:00,,74.8152,0.125394,935.19
Result 1,Trial     1,B3,29:40:00-29:50:00,,55.6794,0.0946542,695.992
Result 1,Trial     1,B3,29:50:00-30:00:00,,82.106,0.143381,1026.32
Result 1,Trial     1,B3,30:00:00-30:10:00,,105.7,0.181615,1321.25
Result 1,Trial     1,B3,30:10:00-30:20:00,,49.6424,0.0832032,620.53
Result 1,Trial     1,B3,30:20:00-30:30:00,,66.7921,0.111737,834.901
Result 1,Trial     1,B3,30:30:00-30:40:00,,66.8377,0.111903,835.471
Result 1,Trial     1,B3,30:40:00-30:50:00,,47.0686,0.0791123,588.358
Result 1,Trial     1,B3,30:50:00-31:00:00,,70.2072,0.117703,877.59
Result 1,Trial     1,B3,31:00:00-31:10:00,,64.2517,0.10768900000000001,803.146
Result 1,Trial     1,B3,31:10:00-31:20:00,,67.029,0.112813,837.863
Result 1,Trial     1,B3,31:20:00-31:30:00,,60.1853,0.101623,752.317
Result 1,Trial     1,B3,31:30:00-31:40:00,,34.0995,0.0569388,426.244
Result 1,Trial     1,B3,31:40:00-31:50:00,,39.5625,0.0663444,494.531
Result 1,Trial     1,B3,31:50:00-32:00:00,,43.7065,0.0744726,546.331
Result 1,Trial     1,B3,32:00:00-32:10:00,,36.2558,0.060783,453.198
Result 1,Trial     1,B3,32:10:00-32:20:00,,60.6383,0.102624,757.979
Result 1,Trial     1,B3,32:20:00-32:30:00,,73.4547,0.136859,918.184
Result 1,Trial     1,B3,32:30:00-32:40:00,,135.241,0.233497,1690.52
Result 1,Trial     1,B3,32:40:00-32:50:00,,32.1061,0.0536891,401.326
Result 1,Trial     1,B3,32:50:00-33:00:00,,40.6456,0.0678331,508.07
Result 1,Trial     1,B3,33:00:00-33:10:00,,45.727,0.0764563,571.587
Result 1,Trial     1,B3,33:10:00-33:20:00,,28.819,0.049688,360.238
Result 1,Trial     1,B3,33:20:00-33:30:00,,32.3559,0.0544345,404.448
Result 1,Trial     1,B3,33:30:00-33:40:00,,32.3858,0.0551906,404.823
Result 1,Trial     1,B3,33:40:00-33:50:00,,31.461,0.0539455,393.262
Result 1,Trial     1,B3,33:50:00-34:00:00,,38.2957,0.0646538,478.697
Result 1,Trial     1,B3,34:00:00-34:10:00,,37.195,0.069342,464.938
Result 1,Trial     1,B3,34:10:00-34:20:00,,24.5104,0.0413023,306.381
Result 1,Trial     1,B3,34:20:00-34:30:00,,29.1008,0.0488858,363.759
Result 1,Trial     1,B3,34:30:00-34:40:00,,23.4776,0.0395619,293.47
Result 1,Trial     1,B3,34:40:00-34:50:00,,25.1291,0.0419938,314.113
Result 1,Trial     1,B3,34:50:00-35:00:00,,18.9301,0.031643,236.627
Result 1,Trial     1,B3,35:00:00-35:10:00,,23.8715,0.0397964,298.393
Result 1,Trial     1,B3,35:10:00-35:20:00,,26.6468,0.0457975,333.086
Result 1,Trial     1,B3,35:20:00-35:30:00,,18.2178,0.0303874,227.723
Result 1,Trial     1,B3,35:30:00-35:40:00,,15.1396,0.0256882,189.245
Result 1,Trial     1,B3,35:40:00-35:50:00,,21.3646,0.0358178,267.058
Result 1,Trial     1,B3,35:50:00-36:00:00,,21.1089,0.03763,263.862
Result 1,Trial     1,B3,36:00:00-36:10:00,,21.7086,0.0362439,271.358
Result 1,Trial     1,B3,36:10:00-36:20:00,,18.2437,0.0311497,228.047
Result 1,Trial     1,B3,36:20:00-36:30:00,,12.1121,0.0202083,151.401
Result 1,Trial     1,B3,36:30:00-36:40:00,,20.2886,0.0339365,253.607
Result 1,Trial     1,B3,36:40:00-36:50:00,,28.6796,0.0480428,358.495
Result 1,Trial     1,B3,36:50:00-37:00:00,,4.07181,0.00679359,50.8976
Result 1,Trial     1,B3,37:00:00-37:10:00,,7.675,0.012862,95.9375
Result 1,Trial     1,B3,37:10:00-37:20:00,,18.2885,0.0305665,228.607
Result 1,Trial     1,B3,37:20:00-37:30:00,,22.5002,0.0404214,281.252
Result 1,Trial     1,B3,37:30:00-37:40:00,,22.6927,0.0378716,283.659
Result 1,Trial     1,B3,37:40:00-37:50:00,,13.4101,0.0223621,167.626
Result 1,Trial     1,B3,37:50:00-38:00:00,,15.6651,0.0263331,195.813
Result 1,Trial     1,B3,38:00:00-38:10:00,,33.5346,0.0566615,419.182
Result 1,Trial     1,B3,38:10:00-38:20:00,,22.1184,0.0413583,276.48
Result 1,Trial     1,B3,38:20:00-38:30:00,,27.0225,0.0465456,337.782
Result 1,Trial     1,B3,38:30:00-38:40:00,,13.5974,0.0226926,169.968
Result 1,Trial     1,B3,38:40:00-38:50:00,,16.9708,0.0284478,212.135
Result 1,Trial     1,B3,38:50:00-39:00:00,,16.4423,0.0274404,205.528
Result 1,Trial     1,B3,39:00:00-39:10:00,,28.6936,0.0486663,358.67
Result 1,Trial     1,B3,39:10:00-39:20:00,,29.092,0.0485904,363.65
Result 1,Trial     1,B3,39:20:00-39:30:00,,24.5661,0.0432928,307.076
Result 1,Trial     1,B3,39:30:00-39:40:00,,17.4606,0.0291243,218.257
Result 1,Trial     1,B3,39:40:00-39:50:00,,15.8177,0.026384,197.721
Result 1,Trial     1,B3,39:50:00-40:00:00,,9.62842,0.0162073,120.355
Result 1,Trial     1,B3,40:00:00-40:10:00,,18.0788,0.0334941,225.985
Result 1,Trial     1,B3,40:10:00-40:20:00,,20.2696,0.0338459,253.37
Result 1,Trial     1,B3,40:20:00-40:30:00,,16.5935,0.0276927,207.418
Result 1,Trial     1,B3,40:30:00-40:40:00,,15.8314,0.0264244,197.892
Result 1,Trial     1,B3,40:40:00-40:50:00,,9.3763,0.0156397,117.204
Result 1,Trial     1,B3,40:50:00-41:00:00,,13.6576,0.0227869,170.72
Result 1,Trial     1,B3,41:00:00-41:10:00,,10.5839,0.0176539,132.299
Result 1,Trial     1,B3,41:10:00-41:20:00,,25.1,0.0420632,313.749
Result 1,Trial     1,B3,41:20:00-41:30:00,,20.8008,0.0346772,260.009
Result 1,Trial     1,B3,41:30:00-41:40:00,,14.4593,0.0241697,180.741
Result 1,Trial     1,B3,41:40:00-41:50:00,,18.8891,0.0391695,236.114
Result 1,Trial     1,B3,41:50:00-42:00:00,,17.6305,0.029522,220.381
Result 1,Trial     1,B3,42:00:00-42:10:00,,13.9007,0.0232143,173.759
Result 1,Trial     1,B3,42:10:00-42:20:00,,23.0612,0.0384455,288.265
Result 1,Trial     1,B3,42:20:00-42:30:00,,15.2055,0.0257755,190.068
Result 1,Trial     1,B3,42:30:00-42:40:00,,21.6203,0.0363929,270.253
Result 1,Trial     1,B3,42:40:00-42:50:00,,11.8122,0.0198218,147.653
Result 1,Trial     1,B3,42:50:00-43:00:00,,16.5199,0.0281564,206.499
Result 1,Trial     1,B3,43:00:00-43:10:00,,9.03526,0.0150668,112.941
Result 1,Trial     1,B3,43:10:00-43:20:00,,16.8979,0.028197,211.224
Result 1,Trial     1,B3,43:20:00-43:30:00,,21.4194,0.0358328,267.743
Result 1,Trial     1,B3,43:30:00-43:40:00,,10.8491,0.0188614,135.614
Result 1,Trial     1,B3,43:40:00-43:50:00,,13.8927,0.0232163,173.658
Result 1,Trial     1,B3,43:50:00-44:00:00,,15.8054,0.0330104,197.568
Result 1,Trial     1,B3,44:00:00-44:10:00,,6.18284,0.0136983,77.2856
Result 1,Trial     1,B3,44:10:00-44:20:00,,14.1251,0.0258587,176.563
Result 1,Trial     1,B3,44:20:00-44:30:00,,9.1767,0.0153539,114.709
Result 1,Trial     1,B3,44:30:00-44:40:00,,7.54192,0.0127037,94.274
Result 1,Trial     1,B3,44:40:00-44:50:00,,8.13733,0.0135767,101.717
Result 1,Trial     1,B3,44:50:00-45:00:00,,12.2047,0.0273059,152.558
Result 1,Trial     1,B3,45:00:00-45:10:00,,13.3761,0.0231934,167.201
Result 1,Trial     1,B3,45:10:00-45:20:00,,7.33011,0.0125344,91.6263
Result 1,Trial     1,B3,45:20:00-45:30:00,,16.2004,0.0290914,202.505
Result 1,Trial     1,B3,45:30:00-45:40:00,,7.61502,0.0239828,95.1878
Result 1,Trial     1,B3,45:40:00-45:50:00,,10.7813,0.0193547,134.767
Result 1,Trial     1,B3,45:50:00-46:00:00,,8.41203,0.0141483,105.15
Result 1,Trial     1,B3,46:00:00-46:10:00,,19.6588,0.0332974,245.735
Result 1,Trial     1,B3,46:10:00-46:20:00,,15.7832,0.0355156,197.289
Result 1,Trial     1,B3,46:20:00-46:30:00,,21.2255,0.0388462,265.319
Result 1,Trial     1,B3,46:30:00-46:40:00,,16.7588,0.0280586,209.485
Result 1,Trial     1,B3,46:40:00-46:50:00,,13.2912,0.0266122,166.14
Result 1,Trial     1,B3,46:50:00-47:00:00,,12.9715,0.0217206,162.144
Result 1,Trial     1,B3,47:00:00-47:10:00,,19.3165,0.0464428,241.456
Result 1,Trial     1,B3,47:10:00-47:20:00,,12.1453,0.0202909,151.816
Result 1,Trial     1,B3,47:20:00-47:30:00,,16.3396,0.0275003,204.245
Result 1,Trial     1,B3,47:30:00-47:40:00,,17.9533,0.0320411,224.416
Result 1,Trial     1,B3,47:40:00-47:50:00,,7.1603,0.0131007,89.5037
Result 1,Trial     1,B3,47:50:00-48:00:00,,85.4516,0.147718,1068.15
Result 1,Trial     1,B3,48:00:00-48:10:00,,10.3248,0.0189489,129.061
Result 1,Trial     1,B3,48:10:00-48:20:00,,10.6434,0.0181479,133.042
Result 1,Trial     1,B3,48:20:00-48:30:00,,21.4649,0.0360198,268.312
Result 1,Trial     1,B3,48:30:00-48:40:00,,24.4603,0.0414525,305.754
Result 1,Trial     1,B3,48:40:00-48:50:00,,0.358399,0.000597332,4.47999
Result 1,Trial     1,B3,48:50:00-49:00:00,,15.3169,0.0255485,191.461
Result 1,Trial     1,B3,49:00:00-49:10:00,,10.9486,0.0182769,136.858
Result 1,Trial     1,B3,49:10:00-49:20:00,,7.5694,0.0126224,94.6176
Result 1,Trial     1,B3,49:20:00-49:30:00,,29.5156,0.0495494,368.945
Result 1,Trial     1,B3,49:30:00-49:40:00,,13.497,0.0225853,168.712
Result 1,Trial     1,B3,49:40:00-49:50:00,,21.0653,0.0369722,263.316
Result 1,Trial     1,B3,49:50:00-50:00:00,,18.1709,0.0322361,227.136
Result 1,Trial     1,B3,50:00:00-50:10:00,,26.9781,0.0624492,337.226
Result 1,Trial     1,B3,50:10:00-50:20:00,,27.2916,0.0474604,341.145
Result 1,Trial     1,B3,50:20:00-50:30:00,,19.6137,0.0334066,245.171
Result 1,Trial     1,B3,50:30:00-50:40:00,,19.0498,0.0377494,238.123
Result 1,Trial     1,B3,50:40:00-50:50:00,,17.3821,0.0295614,217.276
Result 1,Trial     1,B3,50:50:00-51:00:00,,22.3368,0.0456748,279.21
Result 1,Trial     1,B3,51:00:00-51:10:00,,26.8678,0.0474763,335.848
Result 1,Trial     1,B3,51:10:00-51:20:00,,13.9321,0.0232946,174.151
Result 1,Trial     1,B3,51:20:00-51:30:00,,12.5247,0.0210542,156.559
Result 1,Trial     1,B3,51:30:00-51:40:00,,48.1624,0.0804853,602.03
Result 1,Trial     1,B3,51:40:00-51:50:00,,4.97384,0.00830079,62.1729
Result 1,Trial     1,B3,51:50:00-52:00:00,,22.3696,0.03771,279.62
Result 1,Trial     1,B3,52:00:00-52:10:00,,26.9686,0.0451766,337.108
Result 1,Trial     1,B3,52:10:00-52:20:00,,115.697,0.203291,1446.21
Result 1,Trial     1,B3,52:20:00-52:30:00,,50.3294,0.0858746,629.117
Result 1,Trial     1,B3,52:30:00-52:40:00,,44.3012,0.0756716,553.765
Result 1,Trial     1,B3,52:40:00-52:50:00,,34.0924,0.0572405,426.156
Result 1,Trial     1,B3,52:50:00-53:00:00,,43.9838,0.0734827,549.797
Result 1,Trial     1,B3,53:00:00-53:10:00,,28.511,0.0484816,356.388
Result 1,Trial     1,B3,53:10:00-53:20:00,,27.2344,0.0472688,340.43
Result 1,Trial     1,B3,53:20:00-53:30:00,,35.8768,0.0650131,448.46
Result 1,Trial     1,B3,53:30:00-53:40:00,,32.4465,0.0637806,405.581
Result 1,Trial     1,B3,53:40:00-53:50:00,,33.3894,0.0680305,417.367
Result 1,Trial     1,B3,53:50:00-54:00:00,,45.0187,0.0826334,562.733
Result 1,Trial     1,B3,54:00:00-54:10:00,,21.7948,0.0364705,272.435
Result 1,Trial     1,B3,54:10:00-54:20:00,,31.7871,0.0628302,397.338
Result 1,Trial     1,B3,54:20:00-54:30:00,,33.0644,0.0571494,413.305
Result 1,Trial     1,B3,54:30:00-54:40:00,,37.57,0.0635572,469.624
Result 1,Trial     1,B3,54:40:00-54:50:00,,24.2403,0.0484108,303.003
Result 1,Trial     1,B3,54:50:00-55:00:00,,36.4824,0.0627709,456.03
Result 1,Trial     1,B3,55:00:00-55:10:00,,43.4652,0.0787756,543.315
Result 1,Trial     1,B3,55:10:00-55:20:00,,33.2163,0.0581926,415.204
Result 1,Trial     1,B3,55:20:00-55:30:00,,50.5648,0.0871206,632.06
Result 1,Trial     1,B3,55:30:00-55:40:00,,37.0656,0.0652104,463.32
Result 1,Trial     1,B3,55:40:00-55:50:00,,54.939,0.103284,686.737
Result 1,Trial     1,B3,55:50:00-56:00:00,,49.6135,0.0869192,620.168
Result 1,Trial     1,B3,56:00:00-56:10:00,,36.4762,0.0775298,455.953
Result 1,Trial     1,B3,56:10:00-56:20:00,,31.9873,0.0550518,399.841
Result 1,Trial     1,B3,56:20:00-56:30:00,,55.0405,0.100615,688.007
Result 1,Trial     1,B3,56:30:00-56:40:00,,41.8979,0.0708788,523.723
Result 1,Trial     1,B3,56:40:00-56:50:00,,14.1338,0.0236447,176.673
Result 1,Trial     1,B3,56:50:00-57:00:00,,59.6341,0.101308,745.426
Result 1,Trial     1,B3,57:00:00-57:10:00,,28.1704,0.0526511,352.131
Result 1,Trial     1,B3,57:10:00-57:20:00,,29.8588,0.0592624,373.235
Result 1,Trial     1,B3,57:20:00-57:30:00,,60.7357,0.113093,759.196
Result 1,Trial     1,B3,57:30:00-57:40:00,,26.049,0.0442528,325.612
Result 1,Trial     1,B3,57:40:00-57:50:00,,25.1753,0.0513529,314.691
Result 1,Trial     1,B3,57:50:00-58:00:00,,30.0428,0.0509822,375.535
Result 1,Trial     1,B3,58:00:00-58:10:00,,18.1269,0.0307028,226.586
Result 1,Trial     1,B3,58:10:00-58:20:00,,24.5337,0.0461228,306.671
Result 1,Trial     1,B3,58:20:00-58:30:00,,20.068,0.036292,250.85
Result 1,Trial     1,B3,58:30:00-58:40:00,,38.7966,0.0669184,484.958
Result 1,Trial     1,B3,58:40:00-58:50:00,,27.9285,0.0480531,349.106
Result 1,Trial     1,B3,58:50:00-59:00:00,,29.4306,0.0506446,367.882
Result 1,Trial     1,B3,59:00:00-59:10:00,,39.4091,0.0739883,492.614
Result 1,Trial     1,B3,59:10:00-59:20:00,,28.0088,0.04993,350.109
Result 1,Trial     1,B3,59:20:00-59:30:00,,25.4293,0.0465875,317.867
Result 1,Trial     1,B3,59:30:00-59:40:00,,31.2475,0.0533598,390.594
Result 1,Trial     1,B3,59:40:00-59:50:00,,39.5403,0.0693786,494.253
Result 1,Trial     1,B3,59:50:00-60:00:00,,28.5453,0.0547265,356.817
Result 1,Trial     1,B3,60:00:00-60:10:00,,27.2191,0.0467104,340.238
Result 1,Trial     1,B3,60:10:00-60:20:00,,29.1908,0.0507138,364.886
Result 1,Trial     1,B3,60:20:00-60:30:00,,43.9774,0.0740859,549.717
Result 1,Trial     1,B3,60:30:00-60:40:00,,20.8707,0.0349288,260.883
Result 1,Trial     1,B3,60:40:00-60:50:00,,18.2063,0.0304943,227.579
Result 1,Trial     1,B3,60:50:00-61:00:00,,24.3258,0.0427248,304.072
Result 1,Trial     1,B3,61:00:00-61:10:00,,24.4077,0.0450792,305.096
Result 1,Trial     1,B3,61:10:00-61:20:00,,30.9958,0.0578971,387.447
Result 1,Trial     1,B3,61:20:00-61:30:00,,30.9411,0.0525494,386.764
Result 1,Trial     1,B3,61:30:00-61:40:00,,30.7523,0.0548131,384.404
Result 1,Trial     1,B3,61:40:00-61:50:00,,25.4319,0.0519867,317.899
Result 1,Trial     1,B3,61:50:00-62:00:00,,24.8209,0.0416402,310.261
Result 1,Trial     1,B3,62:00:00-62:10:00,,28.824,0.0504057,360.3
Result 1,Trial     1,B3,62:10:00-62:20:00,,35.8828,0.0619865,448.535
Result 1,Trial     1,B3,62:20:00-62:30:00,,33.4213,0.0619188,417.766
Result 1,Trial     1,B3,62:30:00-62:40:00,,30.7275,0.061455,384.094
Result 1,Trial     1,B3,62:40:00-62:50:00,,20.1066,0.0393691,251.332
Result 1,Trial     1,B3,62:50:00-63:00:00,,24.1884,0.0429299,302.355
Result 1,Trial     1,B3,63:00:00-63:10:00,,21.2146,0.0357197,265.183
Result 1,Trial     1,B3,63:10:00-63:20:00,,27.4701,0.0541945,343.377
Result 1,Trial     1,B3,63:20:00-63:30:00,,22.1871,0.038138,277.339
Result 1,Trial     1,B3,63:30:00-63:40:00,,21.9325,0.0526919,274.156
Result 1,Trial     1,B3,63:40:00-63:50:00,,29.7059,0.0653279,371.324
Result 1,Trial     1,B3,63:50:00-64:00:00,,15.7236,0.0266754,196.544
Result 1,Trial     1,B3,64:00:00-64:10:00,,4.82218,0.00803911,60.2772
Result 1,Trial     1,B3,64:10:00-64:20:00,,41.5536,0.0707175,519.42
Result 1,Trial     1,B3,64:20:00-64:30:00,,12.3731,0.0206383,154.663
Result 1,Trial     1,B3,64:30:00-64:40:00,,21.6629,0.0365532,270.786
Result 1,Trial     1,B3,64:40:00-64:50:00,,9.49528,0.0365992,118.691
Result 1,Trial     1,B3,64:50:00-65:00:00,,22.1904,0.0372122,277.38
Result 1,Trial     1,B3,65:00:00-65:10:00,,21.9341,0.0753438,274.176
Result 1,Trial     1,B3,65:10:00-65:20:00,,17.1724,0.0580306,214.655
Result 1,Trial     1,B3,65:20:00-65:30:00,,11.1543,0.0188748,139.428
Result 1,Trial     1,B3,65:30:00-65:40:00,,8.99924,0.015222,112.49
Result 1,Trial     1,B3,65:40:00-65:50:00,,0.333909,0.000556515,4.17386
Result 1,Trial     1,B3,65:50:00-66:00:00,,21.1316,0.0352993,264.145
Result 1,Trial     1,B3,66:00:00-66:10:00,,15.7092,0.0262837,196.365
Result 1,Trial     1,B3,66:10:00-66:20:00,,16.6949,0.0319239,208.687
Result 1,Trial     1,B3,66:20:00-66:30:00,,14.1601,0.0237713,177.001
Result 1,Trial     1,B3,66:30:00-66:40:00,,6.22843,0.0103863,77.8553
Result 1,Trial     1,B3,66:40:00-66:50:00,,26.2979,0.0441299,328.724
Result 1,Trial     1,B3,66:50:00-67:00:00,,14.0241,0.0256439,175.302
Result 1,Trial     1,B3,67:00:00-67:10:00,,14.5064,0.024307,181.33
Result 1,Trial     1,B3,67:10:00-67:20:00,,18.0895,0.03155,226.119
Result 1,Trial     1,B3,67:20:00-67:30:00,,9.48551,0.0212909,118.569
Result 1,Trial     1,B3,67:30:00-67:40:00,,13.5039,0.0225305,168.798
Result 1,Trial     1,B3,67:40:00-67:50:00,,9.02198,0.0151193,112.775
Result 1,Trial     1,B3,67:50:00-68:00:00,,12.858,0.0262237,160.725
Result 1,Trial     1,B3,68:00:00-68:10:00,,21.9546,0.036684,274.433
Result 1,Trial     1,B3,68:10:00-68:20:00,,21.8865,0.0364775,273.582
Result 1,Trial     1,B3,68:20:00-68:30:00,,20.1191,0.033635,251.489
Result 1,Trial     1,B3,68:30:00-68:40:00,,16.9771,0.0304642,212.214
Result 1,Trial     1,B3,68:40:00-68:50:00,,7.70646,0.0128441,96.3307
Result 1,Trial     1,B3,68:50:00-69:00:00,,18.8309,0.0314393,235.386
Result 1,Trial     1,B3,69:00:00-69:10:00,,13.9411,0.0232661,174.263
Result 1,Trial     1,B3,69:10:00-69:20:00,,9.033,0.0194744,112.913
Result 1,Trial     1,B3,69:20:00-69:30:00,,3.45935,0.00576558,43.2418
Result 1,Trial     1,B3,69:30:00-69:40:00,,8.74953,0.0267996,109.369
Result 1,Trial     1,B3,69:40:00-69:50:00,,40.3772,0.0711266,504.715
Result 1,Trial     1,B3,69:50:00-70:00:00,,12.118,0.0205613,151.475
Result 1,Trial     1,B3,70:00:00-70:10:00,,17.4636,0.0383713,218.295
Result 1,Trial     1,B3,70:10:00-70:20:00,,6.15268,0.0102545,76.9085
Result 1,Trial     1,B3,70:20:00-70:30:00,,11.4934,0.0191658,143.667
Result 1,Trial     1,B3,70:30:00-70:40:00,,16.079,0.0268126,200.987
Result 1,Trial     1,B3,70:40:00-70:50:00,,12.3719,0.0206308,154.648
Result 1,Trial     1,B3,70:50:00-71:00:00,,4.12095,0.00688753,51.5119
Result 1,Trial     1,B3,71:00:00-71:10:00,,41.2742,0.0722789,515.927
Result 1,Trial     1,B3,71:10:00-71:20:00,,17.7726,0.0398274,222.157
Result 1,Trial     1,B3,71:20:00-71:30:00,,18.7935,0.0328329,234.919
Result 1,Trial     1,B3,71:30:00-71:40:00,,15.9071,0.0302601,198.839
Result 1,Trial     1,B3,71:40:00-71:50:00,,10.4317,0.0174281,130.397
Result 1,Trial     1,B3,71:50:00-72:00:00,,3.76328,0.00627715,47.041
Result 1,Trial     1,B3,72:00:00-72:10:00,,2.9943,0.0049905,37.4287
Result 1,Trial     1,B3,72:10:00-72:20:00,,21.0628,0.0438296,263.285
Result 1,Trial     1,B3,72:20:00-72:30:00,,17.4278,0.0346119,217.847
Result 1,Trial     1,B3,72:30:00-72:40:00,,30.8509,0.0581128,385.636
Result 1,Trial     1,B3,72:40:00-72:50:00,,23.0143,0.0418625,287.679
Result 1,Trial     1,B3,72:50:00-73:00:00,,15.4252,0.0263229,192.815
Result 1,Trial     1,B3,73:00:00-73:10:00,,21.7675,0.0400314,272.093
Result 1,Trial     1,B3,73:10:00-73:20:00,,19.5577,0.0344908,244.471
Result 1,Trial     1,B3,73:20:00-73:30:00,,24.9205,0.0432288,311.507
Result 1,Trial     1,B3,73:30:00-73:40:00,,15.864,0.0274692,198.3
Result 1,Trial     1,B3,73:40:00-73:50:00,,24.9458,0.0427739,311.822
